BEFORE,
brain wave,avg PSD
Delta ,0.4517507424
Theta,0.2137461127
Alpha,0.7228915208
Beta,0.1893609897
Gamma,0.04648599865
Brain Coherence,-16.65%
,
,
AFTER,
brain wave,avg PSD
Delta ,0.5573771238
Theta,0.3831670667
Alpha,0.7816613645
Beta,0.5313757434
Gamma,0.3875951529
Brain Coherence,46.28%
